aare	ɑ ɹ ə
abacaxi	æ b ə k ə ʃ i
abactor	æ b æ k t ɚ
abashedness	ə b æ ʃ ɪ d n ɪ s
abashment	ə b æ ʃ m ə n t
abates	ə b e ɪ t s
abbasi	ə b ɑ s i
abbreviation	ə b ɹ i v i e ɪ ʃ n̩
abderite	æ b d ə ɹ a ɪ t
abdominocardiac	æ b d ɑ m ɪ n o ʊ k ɑ ɹ d i æ k
abembryonic	æ b ɛ m b ɹ i ɑ n ɪ k
abevacuation	æ b i v æ k j u e ɪ ʃ n̩
abhinaya	ə b ɪ n ə j ə
abidden	ə b ɪ d n̩
abietene	æ b i ə t i n
abiotic	e ɪ b a ɪ ɑ t ɪ k
abjectness	æ b d͡ʒ ɛ k t n ə s
ablastous	e ɪ b l æ s t ə s
ableist	e ɪ b ə l ɪ s t
abnegative	æ b n ɛ ɡ ə t ɪ v
abortive	ə b ɔ ɹ t ɪ v
abozzi	ə b ɔ t s o ʊ
abradant	ə b ɹ e ɪ d n̩ t
abrogator	æ b ɹ ə ɡ e ɪ t ɚ
abronia	ə b ɹ o ʊ n i ə
abruption	ə b ɹ ʌ p ʃ n̩
absinthism	æ b s ə n θ ɪ z m̩
abstruse	æ b s t ɹ u s
abuser	ə b j u z ɚ
abye	ə b a ɪ
abysm	ə b ɪ z m̩
acacia	ə k e ɪ ʃ ə
academism	ə k æ d ə m ɪ z ə m
acampsia	ə k æ m p s i ə
acanthamoeba	ə k æ n θ ə m i b ə
acaricide	ə k ɛ ɹ ə s i d
acaulous	e ɪ k ɔ l ə s
accessorial	æ k s ə s ɔ ɹ i ə l
accidental	æ k s ɪ d ɛ n t l̩
accismus	æ k s ɪ z m ə s
acclimatization	ə k l a ɪ m ə t ə z e ɪ ʃ ə n
accoil	æ k k ɔ ɪ l
accommodating	ə k ɔ m ə d e ɪ t ɪ ŋ
accomplish	ə k ɑ m p l ɪ ʃ
accountable	ə k a ʊ n t ə b l̩
accountableness	ə k a ʊ n t ə b ə l n ə s
accumulable	ə k j u m j ə l ə b ə l
accusingly	ə k j u z ɪ ŋ l i
acedia	ə s i d ɪ ə
acephalocystic	e ɪ s ɛ f ə l o ʊ s ɪ s t ɪ k
acerb	ə s ɜ ɹ b
aceric	æ s ɜ ɹ ɪ k
acervation	æ s ɚ v e ɪ ʃ ə n
acetabulum	æ s ə t æ b j ə l ə m
acetary	ə s i t ə ɹ i
acidic	ə s ɪ d ɪ k
acquest	ə k w ɛ s t
acute	ə k j u t
acyrologia	ə s ɪ ɹ ə l ɔ d͡ʒ i ə
ada	e ɪ d ə
adam	æ d ə m
addressed	ə d ɹ ɛ s t
adelaide	æ d ə l e ɪ d
adenopathy	æ d ə n ɑ p ə θ i
adiaphanous	æ d ɪ æ f ə n ə s
adipocytokine	æ d ɪ p o ʊ s a ɪ t o ʊ k a ɪ n
adits	æ d ɪ t s
adjara	ə d͡ʒ ɑ ɹ ə
adle	e ɪ d ə l
adless	æ d l ə s
adventurous	æ d v ɛ n t͡ʃ ɚ ʌ s
advisability	æ d v a ɪ z ə b ɪ l ə t i
adytum	a d ə t ə m
aeneas	ɪ n i ə s
aeolic	i ɑ l ɪ k
aeolus	i o ʊ l ə s
affinity	ə f ɪ n ɪ t i
afflicted	ə f l ɪ k t ɪ d
aflush	ə f l ʌ ʃ
aflutter	ə f l ʌ t ɚ
aga	ɑ ɡ ə
against	ə ɡ ɛ n s t
agartala	ə ɡ ə ɹ t ə l ə
ageful	e ɪ d͡ʒ f ʊ l
agitate	æ d͡ʒ ɪ t e ɪ t
agitation	æ d͡ʒ ɪ t e ɪ ʃ ə n
agitprop	æ d͡ʒ ə t p ɹ ɑ p
agnew	æ ɡ n u
agraffe	ə ɡ ɹ æ f
agrees	ə ɡ ɹ i z
agriculture	æ ɡ ɹ ɪ k ʌ l t͡ʃ ɚ
aiding	e ɪ d ɪ ŋ
ailed	e ɪ l d
akimbo	ə k ɪ m b o ʊ
alary	e ɪ l ə ɹ i
aldehydes	æ l d i h a ɪ d z
alep	ə l ɛ p
aleurometer	æ l j ə ɹ ɑ m ɪ t ɚ
algedonic	æ l d͡ʒ ɪ d ɔ n ɪ k
algo	æ l ɡ o ʊ̯
algorithmic	æ l ɡ ə ɹ ɪ ð m ɪ k
alias	e ɪ l i ə s
aliveness	ə l a ɪ v n ə s
alkie	æ l k i
alkies	æ l k i z
allen	æ l ə n
alleyway	æ l i w e ɪ
allies	æ l a ɪ z
allowance	ə l a ʊ ə n s
alluding	ə l u d ɪ ŋ
almucantar	æ l m ə k æ n t ɚ
alquifou	æ l k ɪ f u
amalgamate	ə m æ l ɡ ə m e ɪ t
amalia	ə m ɑ l i ə
amaranth	æ m ə ɹ æ n θ
amaranthine	æ m ə r æ n θ ɪ n
ambushings	æ m b ʊ ʃ ɪ ŋ z
amerce	ə m ɝ s
amissible	ə m ɪ s ɪ b ə l
amphibolous	æ m f ɪ b ə l ə s
amputate	æ m p j ʊ t e ɪ t
analogous	ə n æ l ə ɡ ə s
analyze	æ n ə l a ɪ z
anarchy	æ n ɑ ɹ k i
anchovy	æ n t͡ʃ o ʊ v i
ancientry	e ɪ n ʃ ə n t ɹ i
anecdotes	æ n ɪ k d o ʊ t s
angelina	æ n d͡ʒ ə l i n ə
angiotensin	æ n d͡ʒ ɪ o ʊ t ɛ n s ɪ n
anglesey	æ ŋ ɡ ə l s i
