aare	ɑ ɹ ə
abacaxi	æ b ə k ə ʃ i
abashment	ə b æ ʃ m ə n t
abbreviation	ə b ɹ i v i e ɪ ʃ n̩
abderite	æ b d ə ɹ a ɪ t
abembryonic	æ b ɛ m b ɹ i ɑ n ɪ k
abhinaya	ə b ɪ n ə j ə
abidden	ə b ɪ d n̩
abietene	æ b i ə t i n
abjectness	æ b d͡ʒ ɛ k t n ə s
ableist	e ɪ b ə l ɪ s t
abruption	ə b ɹ ʌ p ʃ n̩
absinthism	æ b s ə n θ ɪ z m̩
abstruse	æ b s t ɹ u s
abuser	ə b j u z ɚ
acacia	ə k e ɪ ʃ ə
acaricide	ə k ɛ ɹ ə s i d
accessorial	æ k s ə s ɔ ɹ i ə l
accidental	æ k s ɪ d ɛ n t l̩
accismus	æ k s ɪ z m ə s
accommodating	ə k ɔ m ə d e ɪ t ɪ ŋ
acerb	ə s ɜ ɹ b
aceric	æ s ɜ ɹ ɪ k
acetary	ə s i t ə ɹ i
acidic	ə s ɪ d ɪ k
adam	æ d ə m
adiaphanous	æ d ɪ æ f ə n ə s
adle	e ɪ d ə l
adventurous	æ d v ɛ n t͡ʃ ɚ ʌ s
adytum	a d ə t ə m
aeolus	i o ʊ l ə s
affinity	ə f ɪ n ɪ t i
afflicted	ə f l ɪ k t ɪ d
aflutter	ə f l ʌ t ɚ
ageful	e ɪ d͡ʒ f ʊ l
agitation	æ d͡ʒ ɪ t e ɪ ʃ ə n
agnew	æ ɡ n u
ailed	e ɪ l d
alary	e ɪ l ə ɹ i
aldehydes	æ l d i h a ɪ d z
aleurometer	æ l j ə ɹ ɑ m ɪ t ɚ
algedonic	æ l d͡ʒ ɪ d ɔ n ɪ k
algo	æ l ɡ o ʊ̯
alias	e ɪ l i ə s
alleyway	æ l i w e ɪ
allies	æ l a ɪ z
allowance	ə l a ʊ ə n s
alluding	ə l u d ɪ ŋ
almucantar	æ l m ə k æ n t ɚ
alquifou	æ l k ɪ f u
amaranthine	æ m ə r æ n θ ɪ n
amphibolous	æ m f ɪ b ə l ə s
analogous	ə n æ l ə ɡ ə s
anarchy	æ n ɑ ɹ k i
anchovy	æ n t͡ʃ o ʊ v i
ancientry	e ɪ n ʃ ə n t ɹ i
angelina	æ n d͡ʒ ə l i n ə
anglesey	æ ŋ ɡ ə l s i
anglophilia	æ ŋ ɡ l o ʊ f ɪ l i ə
angolan	æ ŋ ɡ o ʊ l ə n
animalcule	æ n ɪ m æ l k j u l
animated	æ n ɪ m e ɪ t ɪ d
anlauts	a n l a ʊ t s
annette	ə n ɛ t
anomaloscope	ə n ɑ m ə l o ʊ s k o ʊ p
anorexia	æ n ə ɹ ɛ k s i ə
anthology	æ n θ ɑ l ə d͡ʒ i
antioxidant	æ n t i ɔ k s ɪ d ə n t
antirrio	æ n t ɪ ɹ i o ʊ
anxious	æ ŋ k ʃ ə s
aorist	e ɪ ə ɹ ɪ s t
apamea	æ p ə m i ə
apartment	ə p ɑ ɹ t m ə n t
apology	ə p ɔ l ə d͡ʒ i
appointment	ə p ɔ ɪ n t m ɛ n t
apraxia	ə p ɹ æ k s ɪ ə
aprium	e ɪ p ɹ i ə m
aprons	e ɪ p ɹ ə n z
aquabib	æ k w ə b ɪ b
aragon	æ ɹ ə ɡ ɑ n
arbuscle	ɑ b ʌ s ə l
archelaus	ɑ ɹ k ə l e ɪ ə s
arctogaeal	ɑ ɹ k t ə d͡ʒ i ə
arduous	ɑ ɹ d͡ʒ u ə s
arithmetician	ə ɹ ɪ θ m ə t ɪ ʃ ə n
artless	ɑ ɹ t l ɪ s
asphodel	æ s f ə d ɛ l
asplode	ə s p l o ʊ d
assimilation	ə s ɪ m ə l e ɪ ʃ ə n
assisting	ə s ɪ s t ɪ ŋ
asterix	æ s t ə ɹ ɪ k s
asteroids	æ s t ə ɹ o ɪ d z
astonishment	ə s t ɑ n ɪ ʃ m ə n t
astrozoology	æ s t ɹ ə z o ʊ ɔ l ə d͡ʒ i
asymmetry	e ɪ s ɪ m ɪ t ɹ i
atmosphere	æ t m ə s f ɪ ɹ
atom	a t ə m
attaching	ə t æ t͡ʃ ɪ ŋ
attests	ə t ɛ s t s
aubergine	o ʊ b ɚ ʒ i n
augean	ɔ d͡ʒ i ə n
augurs	ɔ ɡ ɚ z
augustan	ɔ ɡ ʌ s t ə n
austenite	ɔ s t ɪ n a ɪ t
austerity	ɔ s t ɛ ɹ ɪ t i
aventurine	ə v ɛ n t͡ʃ ə ɹ ɪ n
averroes	ə v ɛ ɹ o ʊ i z
aviation	e ɪ v i e ɪ ʃ ə n
awook	ə w ʊ k
axe	æ k s
azalea	ə z e ɪ l i ə
azeri	ə z ɛ ɹ i
backrest	b æ k ɹ e s t
backslang	b æ k s l æ ŋ
backstroke	b æ k s t ɹ o ʊ k
baconian	b ə k o ʊ n ɪ ə n
bactericide	b æ k t ɪ ə ɹ ɪ s a ɪ d
bacteriotherapy	b æ k t ɪ ə ɹ ɪ o ʊ θ e ɹ ə p i
badly	b æ d l i
baggage	b æ ɡ ɪ d͡ʒ
baggie	b æ ɡ i
bales	b e ɪ l z
ball	b ɔ l
ballcock	b ɔ l k ɔ k
ballet	b æ l e ɪ
baloney	b ə l o ʊ n i
bamf	b æ m f
bandersnatch	b æ n d ə ɹ s n æ t͡ʃ
baptism	b æ p t ɪ z ə m
barley	b ɑ ɹ l i
barnacle	b ɑ ɹ n ə k l̩
batcrap	b æ t k ɹ æ p
bayed	b e ɪ d
beads	b i d z
beam	b i m
beanbag	b i n b æ ɡ
beaten	b i t ə n
beater	b i t ɚ
beaus	b o ʊ z
beechmast	b i t͡ʃ m æ s t
beefsteak	b i f s t e ɪ k
beeping	b i p ɪ ŋ
beggings	b ɛ ɡ ɪ ŋ z
begnaw	b ɪ n ɔ
beholden	b i h o ʊ l d ə n
beida	b e ɪ d a
belches	b ɛ l t͡ʃ ɪ z
beluga	b ə l u ɡ ə
benevolence	b ə n ɛ v ə l ə n s
berg	b ɝ ɡ
bergamot	b ɝ ɡ ə m ɑ t
besalted	b ɪ s ɑ l t ɪ d
besprenge	b ɪ s p ɹ ɛ n d͡ʒ
bewitching	b ə w ɪ t͡ʃ ɪ ŋ
biceps	b a ɪ s ɛ p s
biennial	b a ɪ ɛ n ɪ ə l
biff	b ɪ f
bimetallic	b a ɪ m ɪ t æ l ɪ k
binal	b a ɪ n ə l
binomial	b a ɪ n o ʊ m i ə l
biological	b a ɪ ə l ɑ d͡ʒ ɪ k ə l
biscotti	b ɪ s k ɑ t i
bitty	b ɪ t i
blabs	b l æ b z
blackout	b l æ k a ʊ t
blazoning	b l e ɪ z ə n ɪ ŋ
blending	b l ɛ n d ɪ ŋ
blighted	b l a ɪ t ɪ d
blinkard	b l ɪ ŋ k ə ɹ d
blister	b l ɪ s t ɚ
blocks	b l ɑ k s
blond	b l ɑ n d
blunting	b l ʌ n t ɪ ŋ
boaster	b o ʊ s t ɚ
bogomile	b ɔ ɡ ə m a ɪ l
boko	b o ʊ k o ʊ
bolete	b o ʊ l i t
bonapartism	b o ʊ n ə p ɑ ɹ t ɪ z ə m
bond	b ɑ n d
bookshelf	b ʊ k ʃ ɛ l f
boon	b u n
bosques	b ɔ s k e ɪ z
boughten	b ɔ t ə n
boundings	b a ʊ n d ɪ ŋ z
bourdon	b ʊ ə d ə n
bovine	b o ʊ v a ɪ n
boy	b ɔ ɪ
braising	b ɹ e ɪ z ɪ ŋ
bramble	b ɹ æ m b ə l
brangle	b ɹ æ ŋ ɡ ə l
brassiere	b ɹ ə z ɪ ɹ
braves	b ɹ e ɪ v z
bread	b ɹ ɛ d
breasty	b ɹ ɛ s t i
breaths	b ɹ ɛ θ s
bred	b ɹ ɛ d
breeding	b ɹ i d ɪ ŋ
breton	b ɹ ɛ t ə n
bribing	b ɹ a ɪ b ɪ ŋ
bridgehead	b ɹ ɪ d͡ʒ h ɛ d
briefed	b ɹ i f t
brighten	b ɹ a ɪ t ə n
brightest	b ɹ a ɪ t ɪ s t
bringer	b ɹ ɪ ŋ ə ɹ
brisk	b ɹ ɪ s k
broseph	b ɹ o ʊ s ə f
brow	b ɹ a ʊ
browsing	b ɹ a ʊ z ɪ ŋ
brumby	b ɹ ʌ m b i
buckle	b ʌ k ə l
buffoonic	b ə f u n ɪ k
building	b ɪ l d ɪ ŋ
bullion	b ʊ l j ə n
bummer	b ʌ m ə ɹ
bundle	b ʌ n d ə l
bungle	b ʌ ŋ ɡ ə l
bupkis	b ʌ p k ɪ s
burb	b ɝ b
burdock	b ɝ d ɑ k
